"user_id","hotel_hunter_index","average_bags_scaled","cancellation_rate_scaled","bargain_hunter_index","combined_booking_scaled","session_intencity_index"
"101961","","0.08","0","0.000057669286056855645","1","0"
"106907","","1","0.5","","1","0"
"181157","0.0004945031977594783","0.2","0","0.004943052580555596","1","0"
"190866","","0.08","0","","1","0"
"204997","0.0008980200365060123","0.06666666666666667","0.4","0.011773564734933517","0.8","0"
"229009","","0.06666666666666667","0.25","","0.75","0"
"252835","","0.12","0","0.0017436330747771101","0.8","0"
"281952","0.006655728796555615","0.3","0","","1","0"
"283325","","0","0","0.007137113895119604","0.5","0"
"299476","","0","0","","1","0"
"316527","0.00002037787902854993","0.05","0","","1","0"
"340166","","","0","","0","0"
"353271","","0","0","","1","0"
"354050","0.00011495213810976887","0.04","0","0.00012112902098978376","1","0"
"354260","","0.2","0","","0.5","0"
"354311","","0.1","0","","0.5","0"
"357737","0.0001926179826944781","0.05","0.16666666666666666","","0.8333333333333334","0"
"361459","","0.2","0","","1","0"
"365825","","0.2","0.3333333333333333","","0.6666666666666666","0"
"372970","","0.1","0","","1","0"
"373489","","0.6","0","0.10196072776323703","1","0"
"374331","","0.2","0.3333333333333333","","0.3333333333333333","0"
"374341","","","0","","0","0"
"375729","","0.06666666666666667","0","0.010804212853008213","1","0"
"378565","","0.1","0","0.0011860561118102316","0.4","0"
"380757","0.00009166313350571177","0.06666666666666667","0","","1","0"
"382384","","0.2","0","","1","0"
"385689","","0.06666666666666667","0","0.001414523781001722","0.75","0"
"388767","","0.2","0","","1","0"
"389759","","0.06666666666666667","0","0.001085968980257011","1","0"
"395981","","0.2","0","0.008930643208782311","1","0"
"401245","","0","0","0.0010039540693494615","0.6666666666666666","0"
"403881","","0.15","0","","1","0"
"404879","","0.1","0","","0.75","0"
"409073","","0.2","0","","1","0"
"413340","","0.13333333333333333","0","","0.3333333333333333","0"
"413658","","0.3","0.25","","0.5","0"
"418692","0.0016555007923147367","0.06666666666666667","0.25","0.00003978052958502143","1","0"
"420669","","0.13333333333333333","0.3333333333333333","","0.6666666666666666","0"
"421870","","0.5333333333333333","0","0.0005822445505896441","0.6666666666666666","0"
"425953","0.00009823182711198428","0","0","0.002591926173729031","1","0"
"425966","","0.1","0","","1","0"
"428858","","0.1","0.25","","0.75","0"
"431746","0.0036178572921456336","0.4","0","","1","0"
"431912","","0.2","0","","0","0"
"433080","0.00046607866906324456","0.15","0","","1","0"
"433339","","0.2","0","","0.5","0"
"437069","0.0001288693381461601","0.12","0","0.0003775413332894466","1","0"
"437251","","0.06666666666666667","0","","1","0"
"438189","0.00022589140158006942","0.16666666666666669","0","","0.8333333333333334","0"
"438937","0.007201228942858336","0.1","0","","1","0"
"438985","0.00033167309219643787","0.06666666666666667","0.25","0.005293284169479583","1","0"
"440212","","0.2","0","0.007254035716293107","1","0"
"441982","","0.08","0","0.0027980132623992723","0.6","0"
"442718","0.00016678510220290098","0.05","0","0.0013541527219388184","0.5","0"
"446138","0.0011098106424779499","0","0.25","0.0016910802449484547","0.75","0"
"448295","","0.1","0","","1","0"
"450164","","0.1","0","","1","0"
"450193","","0.1","0","0.002380130899537144","1","0"
"452594","","0.06666666666666667","0","0.0007157207430134227","0.75","0"
"452612","0.0007037459468174679","0.3","0.3333333333333333","","1","0"
