"user_id","gender","married","has_children","age","perk_assigned"
"23557","F","true","false","66","1 night free hotel with flight"
"94883","F","true","false","52","free hotel meal"
"101486","F","true","true","52","free hotel meal"
"101961","F","true","false","44","free cancellation fees"
"106907","F","true","true","46","1 night free hotel with flight"
"118043","F","false","true","52","free cancellation fees"
"120851","F","true","true","52","exclusive discounts"
"125845","F","true","false","41","exclusive discounts"
"133058","F","false","false","19","1 night free hotel with flight"
"149058","F","false","true","51","free cancellation fees"
"152583","F","false","false","38","free checked bag"
"153982","F","false","true","46","free cancellation fees"
"160754","F","true","true","47","free checked bag"
"164522","F","true","false","49","free checked bag"
"167852","F","false","false","18","1 night free hotel with flight"
"171470","F","false","false","25","1 night free hotel with flight"
"174997","F","false","false","33","free cancellation fees"
"175032","F","false","false","30","free cancellation fees"
"181157","F","true","false","54","exclusive discounts"
"182191","F","false","true","20","1 night free hotel with flight"
"187212","F","true","true","55","1 night free hotel with flight"
"189676","F","false","true","36","free checked bag"
"190866","F","false","false","38","free cancellation fees"
"195192","F","false","false","29","exclusive discounts"
"204943","M","false","false","42","free cancellation fees"
"204997","F","true","false","39","exclusive discounts"
"205044","F","true","true","41","free cancellation fees"
"206011","F","false","true","40","free cancellation fees"
"216796","F","false","false","23","free checked bag"
"217114","O","true","true","20","1 night free hotel with flight"
"217136","F","false","true","39","exclusive discounts"
"220725","F","false","false","41","free cancellation fees"
"224996","F","false","true","43","1 night free hotel with flight"
"226367","F","false","false","44","free hotel meal"
"228195","F","false","true","27","1 night free hotel with flight"
"228872","M","false","false","35","free checked bag"
"229009","F","false","false","18","1 night free hotel with flight"
"229108","F","false","false","26","exclusive discounts"
"229330","F","true","false","48","free hotel meal"
"232647","F","false","false","18","free checked bag"
"249521","F","true","true","60","free checked bag"
"252835","F","false","true","38","free cancellation fees"
"258451","F","false","false","24","1 night free hotel with flight"
"264470","F","false","true","46","1 night free hotel with flight"
"276512","F","true","true","42","free checked bag"
"281952","F","false","false","37","free checked bag"
"283325","F","true","false","51","free hotel meal"
"290123","F","true","false","41","free cancellation fees"
"297546","F","true","false","52","free cancellation fees"
"298253","F","true","true","47","free checked bag"
"299476","F","true","false","39","exclusive discounts"
"306165","F","false","false","21","1 night free hotel with flight"
"306819","F","true","true","60","free checked bag"
"312488","M","true","false","31","free checked bag"
"313724","F","false","false","52","free cancellation fees"
"316527","F","true","true","42","free cancellation fees"
"317688","F","false","true","41","free cancellation fees"
"322867","F","false","false","47","free checked bag"
"324191","F","false","false","40","free hotel meal"
"328590","F","false","false","56","1 night free hotel with flight"
"330764","F","false","false","39","free checked bag"
"330893","F","true","true","44","free checked bag"
"331039","F","true","true","45","1 night free hotel with flight"
"334787","F","false","false","53","free checked bag"
"337227","F","true","false","35","1 night free hotel with flight"
"338086","F","false","true","41","exclusive discounts"
"340166","M","true","true","51","1 night free hotel with flight"
"343928","F","true","false","65","1 night free hotel with flight"
"347778","F","false","false","50","free hotel meal"
"348817","F","false","false","29","free cancellation fees"
"348863","F","true","false","67","1 night free hotel with flight"
"349132","F","false","false","49","free hotel meal"
"350648","F","false","false","18","exclusive discounts"
"353271","F","false","true","27","exclusive discounts"
"353694","F","false","true","40","free hotel meal"
"354050","F","false","false","50","free cancellation fees"
"354260","F","false","false","50","free checked bag"
"354311","F","true","false","46","free checked bag"
"354950","M","true","false","54","free checked bag"
"356046","F","false","false","35","free hotel meal"
"357737","F","true","true","42","free cancellation fees"
"359072","F","true","true","52","exclusive discounts"
"359080","F","true","false","42","1 night free hotel with flight"
"359653","M","false","false","56","free checked bag"
"361459","F","true","true","42","free checked bag"
"361759","F","true","false","53","free cancellation fees"
"363535","F","false","false","31","exclusive discounts"
"365825","F","false","false","45","free hotel meal"
"371201","M","false","true","28","free checked bag"
"372970","F","false","false","34","1 night free hotel with flight"
"373489","F","true","true","38","1 night free hotel with flight"
"374331","M","false","false","43","free checked bag"
"374340","F","true","false","35","1 night free hotel with flight"
"374341","F","false","false","26","1 night free hotel with flight"
"375160","F","false","false","21","1 night free hotel with flight"
"375729","F","false","false","53","exclusive discounts"
"375751","F","true","false","50","free cancellation fees"
"376159","F","false","false","42","free checked bag"
"377069","F","true","false","68","free checked bag"
"377411","F","true","false","38","free hotel meal"
"378565","F","true","true","41","free cancellation fees"
"379543","F","true","false","56","free cancellation fees"
"380434","F","true","true","50","exclusive discounts"
"380436","F","false","false","45","free checked bag"
"380757","F","false","true","47","1 night free hotel with flight"
"380874","F","true","false","54","free checked bag"
"380949","F","false","false","46","free cancellation fees"
"381259","F","false","true","22","free checked bag"
"381465","F","false","false","34","free cancellation fees"
"382181","F","true","false","37","1 night free hotel with flight"
"382384","F","true","false","57","free checked bag"
"382533","F","false","false","18","1 night free hotel with flight"
"385689","F","false","true","50","free cancellation fees"
"386255","F","false","true","32","1 night free hotel with flight"
"386469","F","false","false","18","1 night free hotel with flight"
"386914","F","true","true","47","1 night free hotel with flight"
"387282","F","false","true","31","1 night free hotel with flight"
"387783","M","true","true","54","free hotel meal"
"388328","F","true","true","51","free cancellation fees"
"388767","F","true","true","45","free checked bag"
"388947","M","false","false","41","exclusive discounts"
"389434","F","false","false","42","free cancellation fees"
"389662","F","false","false","39","free checked bag"
"389759","F","false","true","33","free hotel meal"
"390811","F","false","false","41","free checked bag"
"392453","F","false","false","58","free checked bag"
"395202","F","false","false","27","1 night free hotel with flight"
"395981","F","true","false","52","exclusive discounts"
"396552","F","true","false","45","free cancellation fees"
"399137","F","true","false","54","free checked bag"
"399218","F","true","true","44","free checked bag"
"399799","F","true","false","55","free cancellation fees"
"400275","F","true","true","56","exclusive discounts"
"400582","F","true","false","33","free cancellation fees"
"400899","F","true","false","46","free hotel meal"
"401245","F","false","false","28","exclusive discounts"
"402332","F","false","false","32","exclusive discounts"
"402978","F","true","false","52","free cancellation fees"
"403881","F","false","false","44","free hotel meal"
"404879","F","true","false","39","free cancellation fees"
"405305","F","true","true","45","free hotel meal"
"406210","F","false","true","22","1 night free hotel with flight"
"407118","F","true","false","53","free hotel meal"
"407250","F","false","false","37","free cancellation fees"
"407275","F","false","false","42","free cancellation fees"
"407434","F","true","true","53","1 night free hotel with flight"
"407642","F","false","false","30","exclusive discounts"
"408551","F","true","true","44","exclusive discounts"
"409073","F","true","false","43","free checked bag"
"411179","F","false","false","52","exclusive discounts"
"411701","F","false","false","41","free checked bag"
"413128","F","false","false","29","free cancellation fees"
"413340","F","true","true","48","free hotel meal"
"413418","F","false","false","55","free checked bag"
"413658","F","true","true","52","free checked bag"
"414128","F","false","false","28","free hotel meal"
"415282","F","true","true","42","1 night free hotel with flight"
"415381","F","true","false","46","free checked bag"
"415581","F","true","false","43","1 night free hotel with flight"
"416319","F","true","false","55","free checked bag"
"416580","F","false","false","44","free cancellation fees"
"417679","F","false","false","38","free cancellation fees"
"418329","M","false","true","50","exclusive discounts"
"418488","F","true","false","39","free cancellation fees"
"418692","F","false","false","40","1 night free hotel with flight"
"420648","F","true","true","53","exclusive discounts"
"420669","F","true","true","51","free cancellation fees"
"421247","F","true","true","43","free cancellation fees"
"421515","F","false","false","32","free checked bag"
"421666","F","false","true","30","free checked bag"
